X	Y	eta_m
-525.000000	-825.000000	0.324326
-525.000000	-775.000000	0.244684
-525.000000	-725.000000	0.156077
-525.000000	-675.000000	0.100000
-525.000000	-625.000000	0.100000
-525.000000	-575.000000	0.085764
-525.000000	-525.000000	0.108271
-525.000000	-475.000000	0.075881
-525.000000	-425.000000	-0.109973
-525.000000	-375.000000	-3.130083
-525.000000	825.000000	-0.187930
-525.000000	875.000000	0.105073
-525.000000	925.000000	0.165827
-525.000000	975.000000	0.172413
-525.000000	1025.000000	0.170567
-525.000000	1075.000000	0.156030
-525.000000	1125.000000	0.184100
-525.000000	1175.000000	0.180406
-525.000000	1225.000000	0.215392
-525.000000	1275.000000	0.290845
-525.000000	1325.000000	0.400274
-525.000000	1375.000000	0.658606
-525.000000	1425.000000	0.811304
-525.000000	1475.000000	1.135796
-525.000000	1525.000000	1.594626
-525.000000	1575.000000	2.209734
-525.000000	1625.000000	3.230506
-525.000000	1675.000000	5.000000
-525.000000	1725.000000	5.715230
-525.000000	1775.000000	6.206646
